Name;Country;Zip;Address;Phone;Fax;Web;Email;Porfolio
Stˆtzel Electronic;Germany;35452;Ludwig-Rinn-Straﬂe 24;0641 960 314;0641 960 315;;stoetzel-electronic@gmx.de;
Mˆller Feuerwehr-Fachhandel;Germany;36100;Hauptstraﬂe 4;0661 67933 0;0661 67933 20;;info@feuerschutz-moeller.de;
KH-ComTech;Germany;36208;Rosenstraﬂe 18;06626 9150058;06626 9150059;;mail@kh-comtech.de;
Wienbr¸gge TeleFunk;Germany;37083;Reinh‰user Landstr.131;0551 384818 0;0551 384818-123;;mail@wienbruegge.de;
Murer Feuerschutz GmbH;Germany;37547;Neue Reihe 15;05563 95050;05563 950550;;info@murer-feuerschutz.de;
Dr. W.-M.Schmid GmbH;Germany;38114;Aussigstr. 1;0531 58007 0;0531 54389;;Dr.Schmid-Braunschweig@t-online.de;
SELECTRIC Telekommunikations-;Germany;39240;Am Druschplatz 6;03929 14696 0;039291 51482;;sts@selectric.de;
Wetteborn  electronic;Germany;39356;Kleine Str. 52;039055 393;039055 708;;info@wetteborn.de;
Hartwig Nachrichtentechnik;Germany;41334;Van-der-Upwich-Str. 10;02153 60419;02153 8149;;hartwig-nachrichtentechnik@t-online.de;
Grzelka Elektronik GmbH;Germany;41812;Vossemer Straﬂe 31;02432 7051;02432 7054;;sales@grzelka.de;
Comtec GmbH;Germany;44147;Dechenstraﬂe 12;0231 982306 0;0231 982306 40;;office@comtec-do.de;
IFN Industrie-, Funk- und;Germany;45145;Kruppstr. 82 H1 (ETEC);0201 634606 0;0201 634606 21;;ifn@ifn-gmbh-co-kg.de;
Ludwig Degeling;Germany;46397;Schwartzstraﬂe 40;02871 2132 0;02871 2132 70;;ldegeling@t-online.de;
Heckmann FunkmelderService GmbH;Germany;47638;Hubertusstraﬂe 15;02834 70956 0;02834 70956 29;;service@funkmelderservice.de;
Coler GmbH & Co. KG;Germany;48155;Albersloherweg 275;0251 6710 0;0251 6710 510;;info.telekom@coler.de;
L¸kom Kommunikations- & Funktechnik;Germany;49326;Am Hang 3;05428 9279870;05428 9279871;;luekom@t-online.de;
Mikro-Mobilfunk GmbH;Germany;49843;An der Reithalle 9;05942 9201 0;05942 9201 28;;annegret.b@mikro-mobilfunk.de;
DRILLISCH Nachrichtentechnik GmbH & Co. KG;Germany;50858;Horbeller Straﬂe 31;02234 9204 0;02234 9204 444;;mail_info@drillisch-group.de;
THE electronic;Germany;51503;Sonnenweg 17 e;02205 7668;02205 85330;;the-electronic@t-online.de;
Konzelmann Funktechnik;Germany;51702;Fr¸mbergstraﬂe 3;02261 42654;02261 44351;;funktechnik-konzelmann@t-online.de;
Brunn GmbH & Co. KG;Germany;53121;Justus-von-Liebig-Str. 24;0228 6682 0;0228 6682 163;;mc@brunn-autoland.de;
Funk- und Nachrichtentechnik H¸sgen;Germany;53332;Umbachweg 3;02222 928466;02222 928465;;info-fnh@t-online.de;
Kalina Funktechnik GmbH;Germany;55758;Im Wiesengrund 12;06785 99779 0;06785 999871;;service@kalina-funktechnik.de;
Blickle & Scherer;Germany;56070;Robert-Bosch-Straﬂe 1-7;0261 988890 0;0261 988890 10;;info@bsk-world.de;
Esser GmbH;Germany;56218;Florinstraﬂe 19;0261 942960;0261 9429620;;vertrieb@esser-nachrichtentechnik.de;
Giebeler;Germany;57290;M¸hlenbergstraﬂe 2-4;02735 7732 0;02735 7732 77;;info@giebeler-feuerschutz.de;
NTE Nachrichtentechnik;Germany;60389;Hungener Str. 6;069 59790212;069 550145;;info@nte-frankfurt.de;
Ing.-B¸ro J. K¸ster;Germany;61440;Erich-Ollenhauer-Straﬂe 27a;06171 910346;06171 910347;;info@ing-buero-kuester.de;
G¸nter Schmitt GmbH;Germany;63773;Aschaffenburger Straﬂe 126;06021 5992 0;06021 5992 50;;h.willig@schmitt-nt.de;
Weippert Elektronik;Germany;64295;Haardtring 369;06151 9656 0;06151 63312;;Uwe.Weippert@weippert-elektronik.de;
Rinne Funktechnik;Germany;64347;Ottostraﬂe  2 a;06155 843202;06155 843203;;service@rhein-main-funk.de;
Klaus Dammel;Germany;65468;Gutenbergstraﬂe 8;06147 919036;06147 919138;;klaus.dammel@t-online.de;
Matthias Dˆrr Elektronik;Germany;65527;Am Fuchsbau 1;06127 91239;06127 91236;;doerrelektronik@online.de;
Blickle & Scherer;Germany;66121;Brebacher Landstraﬂe 9;0681 9681800;0681 9681809;;info@bsk-world.de;
SURATEC Service GmbH;Germany;66606;Frankfurter Strasse1;06851 808444;06851 808445;;S.Stoll@suratec.de;
Kuhl Kommunikations-Technik;Germany;67468;Am Galgental 27;06329 1630;06329 1468;;kuhl@kommunikationstechnik-kuhl.de;
KTF-Feuchter Kommunikationstechnik;Germany;71139;Im Letten 16;07034 6559 0;07034 6559 29;;info@ktf-feuchter.de;
Bareither + Raisch Funktechnik;Germany;71229;Hertichstraﬂe 52;07152 92890 0;07152 92890 44;;info@bara-funk.de;
Peter Weda GmbH;Germany;71640;Voithstr. 4-6;07141 86811;07141 863000;;info@weda-gmbh.de;
G¸nter Nerz Funk & Fernsehtechnik;Germany;72393;Ebinger Straﬂe 60;07475 1345;07475 7010;;service@nerz.com;
DEFKON GmbH;Germany;72555;Gutenbergstraﬂe 39;07123 38105 37;07123 38105 38;;info@defkon.net;
Elektro Hecht GmbH & Co.KG;Germany;72793;Rˆmerstraﬂe 80;07121 3881 0;07121 3881 88;;volker.hecht@elektro-hecht.de;
Schmidt-Funktechnik GmbH;Germany;73037;Heilbronner Str. 25;07161 9755 0;07161 9755 99;;schmidt.funktechnik@t-online.de;
Kling Telekommunikation;Germany;73037;Holzheimer Str. 9;07161 96126 0;07161 96126 20;;info@kling-kom.de;
Michael Poloczek;Germany;73066;Schorndorfer Straﬂe 186;07161 32137;07161 34562;;info@poloczek.de;
Josef Lipp GmbH & Co. KG;Germany;73430;Bahnhofstr. 119;07361 581 54;07361 581 21;;JosefLippAalen@t-online.de;
Kreft + Neher;Germany;73776;In den Weiden 22;07153 826310;07153 826312;;info@kreft-neher.de;
Peter Wahl Funksysteme;Germany;74235;Weinsberger Straﬂe 7;07132 16884;07132  922356;;WAHL.FUNKSYSTEME@t-online.de;
Blickle & Scherer;Germany;76149;Gewerbering 4 - 6;0721 9736 400;0721 9736 444;;info@bsk-world.de;
Frisch Funktechnik GmbH;Germany;76275;Gutenbergstraﬂe 4;07243 545913;07243 545954;;peter-frisch@gmx.de;
Betriebsfunk GmbH;Germany;76275;Gutenbergstr. 4;07243 5459 0;07243 5459 54;;info@betriebsfunk-ettlingen.de;
Ihrig Kommunikationstechnik;Germany;77656;In der Jeuch 3;0781 9577 0;0781 9577 22;;ihrig.kom@t-online.de;
Schorn Nachrichtentechnik;Germany;77756;Klosterstraﬂe 17;07831 384;07831 204;;schorn-nt@t-online.de;
Spotlight Funktechnik GmbH;Germany;78089;Roﬂackerweg 4;07721 8981 0;07721 8981 79;;info@spotlight-funktechnik.de;
Meder Funk GmbH;Germany;78224;Robert-Bosch-Straﬂe 4;07731 8399 0;07731 8399 30  34;;info@meder-funk.de;
Tobias Winzenried;Germany;78628;Kirchstraﬂe 9;0741 2706373;0741 1755111;;tobias.winzenried@t-online.de;
Rees Funksysteme GmbH;Germany;79112;Etzmattenstraﬂe 39;07664 910000;07664 1052;;rees@funkrees.de;
Elektronikservice Felber;Germany;79664;Nelkenstraﬂe 10;07762 7089600;07762 707048;;info@felber-funk.de;
H & W  Autoelektrik &;Germany;83278;Gmelchstraﬂe 56;0861 98664 13;0861 9866 433;;info@hwts.de;
Bichlmaier KG;Germany;83435;Teisendorfer Straﬂe 5;08651 76209 0;08651 76209 60;;info@bichlmaier.de;
Klein;Germany;84032;Hauptstraﬂe 40 a;0871 27672 0;0871 27672 70;;info@klein-funktechnik.de;
Abel & K‰ufl;Germany;84034;Alter Rennweg 179;0180 50220500;0180 50220501;;s.tilly@abel-kaeufl.de;
Sonnenburg Electronic AG;Germany;84307;Lauterbachstr. 45;08721 95880;08721 9588-60;;info@sonnenburg.de;
Abel & K‰ufl;Germany;84549;Gewerbering 15;08634 624790;08634 624791;;w.schuerf@abel-kaeufl.de;
Kastenhofer;Germany;86167;Am Mittleren Moos 18;0821 703019;0821 704508;;kastenhofer@t-online.de;
H‰usler GmbH;Germany;86859;Unteriglinger Straﬂe 8;08248 90035;08248 90037;;info@funksysteme.de;
Josef Lipp GmbH & Co;Germany;87700;Schlachthofstraﬂe 43;08331 820233;08331 820241;;johannes.lipp@lipp-MM.de;
Erwin Deifel;Germany;88212;Freiherr-v.-Stein-Str. 5;0751 24050;0751 3528785;;info@deifel-funk.de;
Lang & Walser GmbH;Germany;88214;Ziegelstr. 7;0751 15470;0751 15440;;langundwalser@t-online.de;
D & M Wolfrum GbR;Germany;88239;Spinnereistraﬂe 11;07522 910044;07522 910045;;dmwolfrum@t-online.de;
Heine Funktechnik;Germany;88630;Sigmaringer Straﬂe 34;07552 20220;07552 202277;;heine-pfullendorf@t-online.de;
S¸druf GmbH;Germany;89160;Dieselstraﬂe 14;07348 9886 0;07348 9886 38;;info@suedruf.de;
Funkcenter Ulm;Germany;89188;Hahnenweiler 15 + 16;07337 6875;07337 6878;;funkcenter-ulm@t-online.de;
Ernst Lorch KG;Germany;89231;Memminger Str. 69;0731 98450;0731 9845 145;;karl.akolk@lorch-kg.de;
Stangl-Funktechnik GmbH;Germany;91083;Erlanger Straﬂe 9;09133 7777 0;09133 7777 40;;info@stangl-funktechnik.de;
COMPOINT Meisner & Merkel OHG;Germany;91301;Breidweidig 3;09191-7336970;09191-73369720;;info@compoint-ohg.de;
Karl Spiller Funktechnik;Germany;92648;Lange Gasse 15;09651 2778;09651 3330;;Funktechnik_Spiller@gmx.de;
Ruth Schmid Funktechnik & Elektrohandel;Germany;93164;Ringstraﬂe 4;09498 902210;09498 902212;;funktechnik-schmid@t-online.de;
Funk & Meldetechnik;Germany;93413;Hafnerstraﬂe 4;09971 20995;09971 20155;;Reittinger@onlinehome.de;
Kilian Fire&Safety GmbH & Co. KG;Germany;94227;Franz-Betz-Str. 28;09922 802585;09922 802586;;Berthold.Kilian@t-online.de;
Ludwig Rupp Funktechnik;Germany;94486;Ruckasinger Str. 56;09932 90630;09932 9063 2;;info@funktechnik-rupp.de;
Klaus Herbig Funktechnik;Germany;96052;Baunacher Str. 6;0951 9170 120;0951 9170 258;;funktechnik.herbig@funktechnik-herbig.de;
Hirschmann Kommunikationstechnik;Germany;96515;Gleisdammstraﬂe 3;03675 8982 0;03675 8982 82;;info@hirschcom.de;
Leicht Funktechnik;Germany;97249;Industriestraﬂe 8;09306 9069 0;09306 9069 40;;info@leicht-funktechnik.de;
Mezger GmbH + Co. KG;Germany;97424;Werner-von-Siemens-Str. 6;09721 655 0;09721 655290;;funk-schweinfurt@mezger.de;
SYSTCOM Vertriebs- und Service GmbH;Germany;97437;Sailersh‰user Str. 9;09521 9546 0;09521 9546 20;;s.biertempfel@systcom-gmbh.de;
Funktechnik Schultz;Germany;98529;Meininger Straﬂe 106;03681 304951;03681 803494;;info@funktechnik-schultz.de;
Funktechnik Obermaﬂfeld GmbH;Germany;98617;Hauptstraﬂe 38;036949 20677;036949 20678;;funktechnik-schad@gmx.de;
VOCOM Mobilfunk;Germany;99310;Im Reinsfeld 74;036207 55069;036207 56399;;vocom-mobilfunk@t-online.de;
Schumacher Energie- und Nachrichtenanlagen;Germany;99752;Lessingstraﬂe 4;036338 63861;036338 63863;;sen-bleicherode@t-online.de;
